experiment_name,fold,best_val_acc,train_losses,val_losses,test_acc
exp3_1_deep,1,86.0,"[2.048262064273541, 1.3209395087682283, 0.847968537073869, 0.5780200522679549, 0.37504873825953555, 0.24582395072166735, 0.13233191319383109, 0.06819969329696435, 0.031837137487645335, 0.016389943802585967, 0.009071243855242547, 0.006098532834305213, 0.00443569253771924, 0.003586339531466365, 0.0028222131793602155, 0.0024768163790353215, 0.0021483367398524513, 0.0018255394310332262]","[1.838764488697052, 1.3527456521987915, 1.1097713559865952, 1.2124566435813904, 0.7913588732481003, 0.7725298255681992, 0.6998266130685806, 0.6749973520636559, 0.6526091396808624, 0.6973069235682487, 0.724419116973877, 0.7384926453232765, 0.749868743121624, 0.7536711320281029, 0.7499083057045937, 0.7568156644701958, 0.761047713458538, 0.7683945670723915]",
exp3_1_deep,2,82.0,"[2.035780750788175, 1.4326648528759296, 0.9020806230031527, 0.55516484609017, 0.3385357616039423, 0.2240849882364273, 0.10841337132912415, 0.06668572657956527, 0.030175931393527068, 0.04845719798826254, 0.02421294629143981, 0.013379943234702716, 0.01735432754055812, 0.006364615974374688, 0.007084435783326626, 0.008247304904776124]","[1.86917245388031, 1.4921850562095642, 1.2545442432165146, 0.9986699819564819, 0.9035519808530807, 0.8238719254732132, 0.7715878859162331, 0.7991747036576271, 0.8325095251202583, 0.8004286885261536, 0.9916528910398483, 0.8102581202983856, 0.8797430098056793, 0.9579682499170303, 0.8504573702812195, 0.9329302236437798]",
exp3_1_deep,3,82.0,"[2.0099012576616726, 1.4382425454946666, 0.8709478424145625, 0.5327778091797462, 0.32375746277662426, 0.17360080835910943, 0.08341625533424891, 0.04022820637776302, 0.01915497712504405, 0.009709259674239617, 0.00636939718746222, 0.004509256472094701, 0.003638630822444191]","[1.7251237332820892, 1.2929238677024841, 1.0789937376976013, 0.8924113214015961, 0.8542850017547607, 0.7334151715040207, 1.1085674688220024, 1.015405222773552, 1.0985116213560104, 1.0319043695926666, 1.1130719929933548, 1.140219122171402, 1.1139423251152039]",
exp3_1_deep,4,87.5,"[2.0930644823954654, 1.2962000461725087, 0.814842953131749, 0.5194280835298392, 0.3304869578434871, 0.19717111381200644, 0.12043804560716335, 0.05828263252400435, 0.035513149216198005, 0.023764407047285482, 0.015510157896922184, 0.010845521876875024, 0.007997375841324147, 0.009700199195112173, 0.01104711159132421, 0.01046511484310031, 0.008690872417691235, 0.011099098590560831]","[1.7495124340057373, 1.1440027356147766, 0.887050524353981, 0.7038912326097488, 0.7125763073563576, 0.6870503127574921, 0.6044281274080276, 0.590811237692833, 0.7255429923534393, 0.6091275066137314, 0.6964667662978172, 0.7268901243805885, 0.6892544254660606, 0.8396288156509399, 0.6890211850404739, 0.872171938419342, 0.8122948706150055, 1.0481907650828362]",
exp3_1_deep,5,78.39195979899498,"[2.114763800914471, 1.4511858041469867, 0.8735992358281062, 0.5748798984747666, 0.3541255902785521, 0.2179049442593868, 0.1471269136438003, 0.06372135447768065, 0.040940005475511916, 0.018652385315642908, 0.016074151445466738, 0.009960341804589216, 0.008493838903422538, 0.012377666900507532, 0.005763870950501699, 0.007716163688410933, 0.01230033478126503]","[1.8802250921726227, 1.3263853192329407, 1.052279770374298, 0.9170570224523544, 0.7722650617361069, 0.6915088444948196, 0.7412604242563248, 0.7020323351025581, 0.684418398886919, 0.7191883996129036, 0.7589491978287697, 0.7535079829394817, 0.7595054283738136, 0.7621924877166748, 0.8364393413066864, 0.850516127422452, 0.886153556406498]",
exp3_2_deep,1,86.5,"[1.9993787362025335, 1.173441034096938, 0.7247717242974502, 0.49982460416280305, 0.2886150020819444, 0.16630475509625214, 0.07998339688548675, 0.03427792684389995, 0.016048269991118174, 0.008395629899146466, 0.0050627790713826054, 0.0034429252667066, 0.0026423412178141568, 0.002121710039388675, 0.0018005661505202835, 0.0015595510888558168, 0.0013109748520386906, 0.0011561106299408353, 0.001054239768284158, 0.0009236021388250475, 0.0008217968592921702, 0.0007236862282017962, 0.0006689202004613784]","[1.712350606918335, 1.1263475716114044, 0.8208253681659698, 0.734780378639698, 0.6738694980740547, 0.7030337750911713, 0.5539470091462135, 0.6051761284470558, 0.6348341777920723, 0.6260876879096031, 0.6566064581274986, 0.6257688924670219, 0.6232988312840462, 0.653649166226387, 0.658631220459938, 0.670099176466465, 0.6844445317983627, 0.6800010800361633, 0.6857769042253494, 0.6966087073087692, 0.698464959859848, 0.7036362215876579, 0.7144231051206589]",
exp3_2_deep,2,82.0,"[1.975564351448646, 1.1585839895101695, 0.7336338437520541, 0.5172508106781886, 0.31117986371883977, 0.17154076065008456, 0.09363464667246892, 0.04529558910200229, 0.024561174787007846, 0.01149022883663957, 0.010897623303417977, 0.027322805665719967, 0.01677588769234717, 0.018006852398125026, 0.010154648755605403, 0.007217357400804758, 0.005135361570864916, 0.007123037178714115]","[1.6884593665599823, 1.5111347883939743, 0.972865030169487, 0.8564562499523163, 0.915286511182785, 0.8050172254443169, 1.0023514702916145, 0.91872338950634, 0.8930600211024284, 0.9671544805169106, 0.9880612939596176, 1.0238271951675415, 1.4369946122169495, 0.9611723273992538, 1.069191038608551, 1.1076010838150978, 1.0666998326778412, 1.0707505270838737]",
exp3_2_deep,3,81.5,"[1.9830486040848951, 1.1945591064599843, 0.743995726108551, 0.4505515373670138, 0.27299687610222745, 0.14681267337157175, 0.0747597494090979, 0.03593224931794863, 0.018477428811960496, 0.009426181634458212, 0.004650012410890598, 0.0036373048877486815, 0.0026543341003931486, 0.002167594663870449, 0.0018098254401523333, 0.0016107495175674558]","[1.637270212173462, 1.2246355265378952, 1.0777982473373413, 0.9998864382505417, 0.8249147683382034, 0.9527259171009064, 1.1703058332204819, 0.9935349076986313, 1.1012072712182999, 0.9572176337242126, 1.1672061532735825, 1.078609973192215, 1.0996717810630798, 1.14401975274086, 1.1333160400390625, 1.1686434596776962]",
exp3_2_deep,4,86.5,"[1.9672056711637056, 1.1562536771480854, 0.7006585896015167, 0.4531775013758586, 0.29778289336424607, 0.17439239128277853, 0.06961877042284378, 0.0530192399254212, 0.03748947510925623, 0.01819036116536993, 0.021709090027098473, 0.0134320984630344, 0.009950156144511241, 0.010221409969604932, 0.004496912113749064, 0.003773374465079262, 0.004902967636903318, 0.003848698688670993, 0.00738696800544858, 0.004171771704792404]","[1.5166992843151093, 0.8266340494155884, 0.713792473077774, 0.6598105132579803, 0.606895886361599, 0.4862125888466835, 0.49453897774219513, 0.5918579921126366, 0.8788057640194893, 0.5249931737780571, 0.7602037936449051, 0.5281924307346344, 0.6332846656441689, 0.5995180830359459, 0.5781321749091148, 0.6272545754909515, 0.6090386509895325, 0.6237144321203232, 0.6279940083622932, 0.6797400116920471]",
exp3_2_deep,5,77.8894472361809,"[2.0297499895095825, 1.1575486339055574, 0.6959743499755859, 0.4285463782457205, 0.2848625687452463, 0.17522642818781045, 0.09066703715003453, 0.05612844171432348, 0.04614116265796698, 0.020191511891495723, 0.011118915755874835, 0.009569577353361707, 0.008345001878646703, 0.007806527714889783, 0.00706489747748352, 0.007543631099486867, 0.005874068762820501]","[1.6294931173324585, 1.3244834244251251, 1.0087352395057678, 0.981775313615799, 0.7501836270093918, 0.6981916055083275, 0.6792864874005318, 0.7843472212553024, 0.6376396529376507, 0.6513165794312954, 0.6695413812994957, 0.673983346670866, 0.6867856904864311, 0.6951720826327801, 0.6969999298453331, 0.7040531001985073, 0.7138654105365276]",
